
Téléchargement du 06/09/2025;


ASSOC.   DANS LE MONDE DE MARIO DLMM                            
Compte courant carte n° 04104447835;
Solde au 06/09/2025 1 013,53 €

Liste des opérations du compte entre le 01/09/2024 et le 05/09/2025;

Date;Libellé;Débit euros;Crédit euros;
21/07/2025;"VIREMENT EN VOTRE FAVEUR
MR OU MME QARIOH CELINE VIREMENT VIREMENT DE MR OU MME QARIOH CELINE 


VIREMENT DE MR OU MME QARIOH CELINE";;60,00;
21/07/2025;"PRELEVEMENT             
ELECTRICITE DE FRANCE DANS LE MONDE DE MARIO D Ref EDF:7947328823 RUM:MA970002074945 ? 2025-07-21 
MA970002074945                     
FR47EDF001007                      
Z007947328823 99285 2   FELIX   992";167,62;;
21/07/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC210616 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC210616                      ";94,02;;
20/07/2025;"VIREMENT EN VOTRE FAVEUR
VIR INST de MONSIEUR VERNAY LAUR Commande de cafe 


Cafe                               ";;20,00;
17/07/2025;"VIREMENT EN VOTRE FAVEUR
VIR INST de MME COCHE PATRICIA Commande PCR 


";;36,00;
17/07/2025;"PRELEVEMENT             
BOUYGUES TELECOM PRLV NRJ Mobile Fact N. FM00008663052 
LM12000DUGK56                      
FR35ZZZ418323                      
BTBD000000N0000000000009087916     ";2,99;;
10/07/2025;"PRELEVEMENT             
Tenue de compte professionnel  


";3,75;;
10/07/2025;"PRELEVEMENT             
ASL LA BEGUDE Prelevement du solde apres repartition + Budget previsionnel 2025, 3eme trimestre 2025 (LA BEGUDE) 
S0000P00000400000004327000000001685
FR05ZZZ8546A5                      
PREP000004-07072025-164647262      ";140,39;;
10/07/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC288614 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC288614                      ";48,90;;
09/07/2025;"PRELEVEMENT             
PayPal Europe S.a.r.l. et Cie S. 1043379538613/PAYPAL 
4TG2224MK8MR4                      
LU96ZZZ0000000000000000058         
1043379538613                      ";6,60;;
07/07/2025;"ABONNEMENT              
Abonnement banque à distance  


";3,00;;
07/07/2025;"VIREMENT EN VOTRE FAVEUR
PayPal Europe S.a.r.l. et Cie S. YYW1043358957381/PAYPAL 


YYW1043358957381                   ";;2,49;
04/07/2025;"VIREMENT EN VOTRE FAVEUR
PayPal Europe S.a.r.l. et Cie S. YYW1043277518139/PAYPAL 


YYW1043277518139                   ";;50,99;
01/07/2025;"REMISE DE CHEQUE        
6793736  


";;12,00;
30/06/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC269945 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC269945                      ";26,34;;
25/06/2025;"PRELEVEMENT             
EAU DU GRAND LYON - LA REGIE eau EC2006202500725 
EPGL71596                          
FR34ZZZ8895BE                      
1D0690000EC2006202500725           ";49,45;;
20/06/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC250786 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC250786                      ";70,84;;
20/06/2025;"PRELEVEMENT             
BOUYGUES TELECOM PRLV NRJ Mobile Fact N. FM00007793364 
LM12000DUGK56                      
FR35ZZZ418323                      
BTBD000000N0000000000008143618     ";2,99;;
19/06/2025;"REMISE DE CHEQUE        
6793735  


";;120,00;
19/06/2025;"PRELEVEMENT             
ELECTRICITE DE FRANCE DANS LE MONDE DE MARIO D Ref EDF:7947328823 RUM:MA970002074945 ? 2025-06-19 
MA970002074945                     
FR47EDF001007                      
Z007947328823 99285 2   FELIX   992";101,78;;
10/06/2025;"VIREMENT EMIS           
VIR INST vers L2G - Corbas Association Dans Le Monde de Mario 


devis DEV08631412                  ";630,96;;
09/06/2025;"PRELEVEMENT             
PayPal Europe S.a.r.l. et Cie S. 1042691265418/PAYPAL 
4TG2224MK8MR4                      
LU96ZZZ0000000000000000058         
1042691265418                      ";457,11;;
06/06/2025;"VIREMENT EN VOTRE FAVEUR
DE DANS LE MONDE DE MARIO  


";;1 000,00;
02/06/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC207340 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC207340                      ";115,94;;
27/05/2025;"VIREMENT EMIS           
VIR INST vers Laboratoire dHygin DANS LE MONDE DE MARIO 


Facture Rf. : FA2505-7639          ";384,00;;
21/05/2025;"INTERETS CREDITEURS     
PS CACE VAL D'OZON  


";;0,54;
19/05/2025;"PRELEVEMENT             
ELECTRICITE DE FRANCE DANS LE MONDE DE MARIO D Ref EDF:7947328823 RUM:MA970002074945 ? 2025-05-19 
MA970002074945                     
FR47EDF001007                      
Z007947328823 99285 2   FELIX   992";83,84;;
19/05/2025;"PRELEVEMENT             
BOUYGUES TELECOM PRLV NRJ Mobile Fact N. FM00006730858 
LM12000DUGK56                      
FR35ZZZ418323                      
BTBD000000N0000000000007144958     ";2,99;;
14/05/2025;"VIREMENT EMIS           
VIR INST vers M. et Mme Cyrille  


Meubles Sdb du Local de Feyzin     ";298,00;;
09/05/2025;"CHEQUE EMIS             
2495905  


";33,00;;
30/04/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC250100 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC250100                      ";98,03;;
23/04/2025;"REMISE DE CHEQUE        
6793734  


";;54,00;
23/04/2025;"VIREMENT EMIS           
WEB SLAT SAS Rembourst Achat Err  


Rembourst Achat Erreur Carte       ";108,78;;
22/04/2025;"PRELEVEMENT             
ELECTRICITE DE FRANCE DANS LE MONDE DE MARIO D Ref EDF:7947328823 RUM:MA970002074945 ? 2025-04-22 
MA970002074945                     
FR47EDF001007                      
Z007947328823 99285 2   FELIX   992";54,88;;
22/04/2025;"PRELEVEMENT             
PayPal Europe S.a.r.l. et Cie S. 1041609867199/PAYPAL 
4TG2224MK8MR4                      
LU96ZZZ0000000000000000058         
1041609867199                      ";6,60;;
17/04/2025;"PRELEVEMENT             
BOUYGUES TELECOM PRLV NRJ Mobile Fact N. FM00005754374 
LM12000DUGK56                      
FR35ZZZ418323                      
BTBD000000N0000000000006134068     ";2,99;;
16/04/2025;"VIREMENT EMIS           
04213256438  


";10 000,00;;
11/04/2025;"VIREMENT EN VOTRE FAVEUR
VIR INST de FOOTGOLF CLUB DE LYO Lot pour Regional Footgolf 


Facture 12                         ";;155,00;
11/04/2025;"PRELEVEMENT             
PayPal Europe S.a.r.l. et Cie S. 1041444127766/PAYPAL 
4TG2224MK8MR4                      
LU96ZZZ0000000000000000058         
1041444127766                      ";41,14;;
10/04/2025;"PRELEVEMENT             
Tenue de compte professionnel  


";3,75;;
10/04/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC212146 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC212146                      ";224,18;;
10/04/2025;"PRELEVEMENT             
ASL LA BEGUDE Budget previsionnel 2024, 2eme trimestre 2025 (LA BEGUDE) 
S0000P00000400000004327000000001685
FR05ZZZ8546A5                      
PREP000004-07042025-152340712      ";2,71;;
08/04/2025;"REMISE DE CHEQUE        
6793733  


";;60,00;
24/03/2025;"PRELEVEMENT             
PayPal Europe S.a.r.l. et Cie S. 1041010391745/PAYPAL 
4TG2224MK8MR4                      
LU96ZZZ0000000000000000058         
1041010391745                      ";5,28;;
21/03/2025;"CHEQUE EMIS             
7693062  


";672,60;;
19/03/2025;"CHEQUE EMIS             
2495907  


";1 000,00;;
19/03/2025;"PRELEVEMENT             
ELECTRICITE DE FRANCE DANS LE MONDE DE MARIO D Ref EDF:7947328823 RUM:MA970002074945 ? 2025-03-19 
MA970002074945                     
FR47EDF001007                      
Z007947328823 99285 2   FELIX   992";128,90;;
17/03/2025;"PRELEVEMENT             
BOUYGUES TELECOM PRLV NRJ Mobile Fact N. FM00004769859 
LM12000DUGK56                      
FR35ZZZ418323                      
BTBD000000N0000000000005205704     ";2,99;;
13/03/2025;"VIREMENT EN VOTRE FAVEUR
VIR INST de D AMORE NICOLAS Virement avec Fortuneo Mario Cy 


";;16,00;
10/03/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC257427 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC257427                      ";304,56;;
05/03/2025;"REMISE DE CHEQUE        
6793732  


";;24,00;
04/03/2025;"VIREMENT EN VOTRE FAVEUR
VIR INST de COMITE SOCIAL ECONOM CADEAU GATEAUX 


FACTURE 11 CE SNC                  ";;936,00;
28/02/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC240667 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC240667                      ";158,08;;
20/02/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC224336 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC224336                      ";90,34;;
19/02/2025;"PRELEVEMENT             
ELECTRICITE DE FRANCE DANS LE MONDE DE MARIO D Ref EDF:7947328823 RUM:MA970002074945 ? 2025-02-19 
MA970002074945                     
FR47EDF001007                      
Z007947328823 99285 2   FELIX   992";65,41;;
14/02/2025;"REMISE DE CHEQUE        
6793731  


";;277,00;
31/01/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC292006 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC292006                      ";224,82;;
22/01/2025;"VIREMENT EN VOTRE FAVEUR
VIR INST de D AMORE NICOLAS Virement avec Fortuneo Mario Cy 


";;22,00;
20/01/2025;"PRELEVEMENT             
ELECTRICITE DE FRANCE DANS LE MONDE DE MARIO D Ref EDF:7947328823 RUM:MA970002074945 ? 2025-01-20 
MA970002074945                     
FR47EDF001007                      
Z007947328823 99285 2   FELIX   992";52,02;;
17/01/2025;"VIREMENT EN VOTRE FAVEUR
VIR INST de MR PHILIPPE ROUX Cafe roux 


";;40,00;
16/01/2025;"VIREMENT EN VOTRE FAVEUR
LEMONWAY 4473183 YAPLAFR-1437763 YAPLA 


4473183                            ";;500,00;
14/01/2025;"REMISE DE CHEQUE        
6793730  


";;20,00;
10/01/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC258114 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC258114                      ";82,41;;
10/01/2025;"PRELEVEMENT             
GrandLyonHabitat Syndic Prelevement solde (LA BEGUDE) 
S0000P00000400000004327000000001685
FR89ZZZ398145                      
PREP000004-08012025-103221691      ";5,42;;
07/01/2025;"REMISE DE CHEQUE        
6793729  


";;1 000,00;
03/01/2025;"VIREMENT EN VOTRE FAVEUR
UNION SANTE SHOPPING Solde Fact SOLDE FACT 6  COFFRETS NOEL USS 


Solde Fact 6  Coffrets Noel USS    ";;3 950,00;
31/12/2024;"CHEQUE EMIS             
7693061/0000000/000000000  


";1 304,62;;
31/12/2024;"VIREMENT EN VOTRE FAVEUR
LEMONWAY 4386535 YAPLAFR-1412562 YAPLA 


4386535                            ";;71,00;
31/12/2024;"REMISE DE CHEQUE        
6793727  


";;92,00;
31/12/2024;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC237872 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC237872                      ";458,64;;
31/12/2024;"VIREMENT EN VOTRE FAVEUR
SLAT SCT1224SL1104 9 


SCT1224SL1104                      ";;1 875,00;
27/12/2024;"VIREMENT EN VOTRE FAVEUR
2ML Virement vers DLMM fact cafe 


Virement vers DLMM                 ";;120,00;
25/12/2024;"VIREMENT EN VOTRE FAVEUR
Prestation Noel 2024 au TCF TENN Animation de Noel le 14/12/2024 


Prestation Noel 2024 au TCF        ";;150,00;
24/12/2024;"REMISE DE CHEQUE        
6793728  


";;48,00;
20/12/2024;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC220268 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC220268                      ";296,93;;
20/12/2024;"VIREMENT EN VOTRE FAVEUR
MR OU MME WALPOEL LEMOINE 032024  


032024353653201420000001           ";;50,00;
19/12/2024;"VIREMENT EN VOTRE FAVEUR
VIR INST de Thierry VAN MEER Virement de Thierry VAN MEER 


";;6,00;
19/12/2024;"PRELEVEMENT             
ELECTRICITE DE FRANCE DANS LE MONDE DE MARIO D Ref EDF:7947328823 RUM:MA970002074945 ? 2024-12-19 
MA970002074945                     
FR47EDF001007                      
Z007947328823 99285 2   FELIX   992";41,14;;
18/12/2024;"VIREMENT EN VOTRE FAVEUR
LEMONWAY 4300944 YAPLAFR-1395727 YAPLA 


4300944                            ";;112,00;
17/12/2024;"REMISE DE CHEQUE        
6793726  


";;147,00;
13/12/2024;"VIREMENT EN VOTRE FAVEUR
VIR INST de MR PHILIPPE ROUX Coffret kdo Kf Roux Ph 


";;174,00;
12/12/2024;"VIREMENT EN VOTRE FAVEUR
VIR INST de MME COCHE PATRICIA Commande Noel 


";;134,00;
10/12/2024;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC202358 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC202358                      ";170,63;;
09/12/2024;"VIREMENT EN VOTRE FAVEUR
VIR INST de MR OU MME FRANCK PAS VIREMENT DE MR OU MME FRANCK PASTOR 


VIREMENT DE MR OU MME FRANCK PASTOR";;40,00;
06/12/2024;"CHEQUE EMIS             
7693060  


";66,00;;
06/12/2024;"VIREMENT EN VOTRE FAVEUR
REPORTLINKER VH434123ZG0DND01 VIR DE REPORTLINKER 


VH434123ZG0DND01                   ";;1 000,00;
05/12/2024;"REMISE DE CHEQUE        
6793725  


";;65,00;
03/12/2024;"REMISE DE CHEQUE        
6793724  


";;147,00;
03/12/2024;"PRELEVEMENT             
PayPal Europe S.a.r.l. et Cie S. 1038579560257/PAYPAL 
4TG2224MK8MR4                      
LU96ZZZ0000000000000000058         
1038579560257                      ";369,23;;
23/11/2024;"REMISE DE CHEQUE        
6793723  


";;130,00;
20/11/2024;"CHEQUE EMIS             
2495904  


";168,00;;
20/11/2024;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC259999 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC259999                      ";421,27;;
19/11/2024;"VIREMENT EN VOTRE FAVEUR
Humens Finance 1600000308 /REF/DON 112024 18.11.2024 


1600000308                         ";;2 000,00;
19/11/2024;"PRELEVEMENT             
ELECTRICITE DE FRANCE DANS LE MONDE DE MARIO D Ref EDF:7947328823 RUM:MA970002074945 ? 2024-11-19 
MA970002074945                     
FR47EDF001007                      
Z007947328823 99285 2   FELIX   992";43,90;;
15/11/2024;"VIREMENT EN VOTRE FAVEUR
LEMONWAY 4109134 YAPLAFR-1307659 YAPLA 


4109134                            ";;60,00;
14/11/2024;"PRELEVEMENT             
PayPal Europe S.a.r.l. et Cie S. 1038211561842/PAYPAL 
4TG2224MK8MR4                      
LU96ZZZ0000000000000000058         
1038211561842                      ";69,45;;
12/11/2024;"PRELEVEMENT             
PayPal Europe S.a.r.l. et Cie S. 1038134854551/PAYPAL 
4TG2224MK8MR4                      
LU96ZZZ0000000000000000058         
1038134854551                      ";7,90;;
11/11/2024;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC252011 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC252011                      ";31,55;;
05/11/2024;"VIREMENT EN VOTRE FAVEUR
PayPal Europe S.a.r.l. et Cie S. YYW1038038384735/PAYPAL 


YYW1038038384735                   ";;75,00;
05/11/2024;"PRELEVEMENT             
PayPal Europe S.a.r.l. et Cie S. 1038001629579/PAYPAL 
4TG2224MK8MR4                      
LU96ZZZ0000000000000000058         
1038001629579                      ";6,32;;
31/10/2024;"VIREMENT EN VOTRE FAVEUR
LEMONWAY 4025162 YAPLAFR-1285106 YAPLA 


4025162                            ";;156,00;
31/10/2024;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC234357 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC234357                      ";428,92;;
29/10/2024;"REMISE DE CHEQUE        
6793722  


";;38,33;
23/10/2024;"PRELEVEMENT             
PayPal Europe S.a.r.l. et Cie S. 1037714855016/PAYPAL 
4TG2224MK8MR4                      
LU96ZZZ0000000000000000058         
1037714855016                      ";75,00;;
21/10/2024;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC211970 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC211970                      ";94,87;;
16/10/2024;"VIREMENT EN VOTRE FAVEUR
UNION SANTE SHOPPING Acompte Fac ACOMPTE FACTURE 6 DLMM 


Acompte Facture 6 DLMM             ";;2 000,00;
16/10/2024;"VIREMENT EN VOTRE FAVEUR
SGC BRON 160690390008002024-10-1 FAC. 3 DU 27/09/2024DE24006201 FABRICATION DE BISCUITS FORFAIT FOURNITURES ET ANFEYZIN 


160690390008002024-10-144301       ";;120,00;
10/10/2024;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC200190 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC200190                      ";196,29;;
30/09/2024;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC280253 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC280253                      ";138,86;;
27/09/2024;"VIREMENT EN VOTRE FAVEUR
PayPal Europe S.a.r.l. et Cie S. YYW1037172327529/PAYPAL 


YYW1037172327529                   ";;28,61;
20/09/2024;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC258683 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC258683                      ";537,32;;
17/09/2024;"REMISE DE CHEQUE        
6793721  


";;200,00;
11/09/2024;"REMISE DE CHEQUE        
6793720  


";;12,00;
09/09/2024;"VIREMENT EN VOTRE FAVEUR
PayPal Europe S.a.r.l. et Cie S. YYW1036773010638/PAYPAL 


YYW1036773010638                   ";;5,00;







