Date de la transaction,Code de la transaction,Type de transaction,Référence,Référence du paiement,Statut,Montant facturé débité,Montant facturé crédité,Devise de la carte,Montant de la transaction débité,Montant de la transaction crédité,Devise de la transaction,Taux de change,Frais,Solde disponible
21/05/2025 13:56,CDGNYX6RWY,Paiement entrant SumUp,SUMUP PID1144418 PAYOUT 210525,,Entrant,0.00,5.89,EUR,0.00,5.89,EUR,1.00,0.00,1086.88
14/05/2025 18:49,COXNLXP4NL,Paiement POS,SumUp  *Patrickfruits bron            FR,,Approuvé,50.00,0.00,EUR,50.00,0.00,EUR,1.00,0.00,1080.99
07/05/2025 13:33,C9B4EKJG25,Paiement entrant SumUp,SUMUP PID1119302 PAYOUT 070525,,Entrant,0.00,11.79,EUR,0.00,11.79,EUR,1.00,0.00,1130.99
05/05/2025 13:35,CONNEB3G7N,Paiement entrant SumUp,SUMUP PID1115663 PAYOUT 050525,,Entrant,0.00,380.13,EUR,0.00,380.13,EUR,1.00,0.00,1119.20
03/05/2025 06:56,CDXNKZQEE5,Rembourser,AMAZON RETAIL FR      AMAZON.FR       FR,,Remboursé,0.00,15.23,EUR,0.00,15.23,EUR,1.00,0.00,739.07
02/05/2025 13:39,C9KP5P725B,Paiement entrant SumUp,SUMUP PID1110681 PAYOUT 020525,,Entrant,0.00,583.93,EUR,0.00,583.93,EUR,1.00,0.00,723.84
02/05/2025 10:28,C9QZ6VQYKP,Paiement en ligne,AMZN Mktp FR          amazon.fr       LU,,Approuvé,15.99,0.00,EUR,15.99,0.00,EUR,1.00,0.00,139.91
30/04/2025 13:59,CDEN2P7RE3,Paiement entrant SumUp,SUMUP PID1107117 PAYOUT 300425,,Entrant,0.00,3.93,EUR,0.00,3.93,EUR,1.00,0.00,155.90
29/04/2025 14:01,C9JYZM2VZJ,Paiement POS,CENTRAKOR STORES      MIONS           FR,,Approuvé,85.94,0.00,EUR,85.94,0.00,EUR,1.00,0.00,151.97
29/04/2025 09:03,COV4PR4KJW,Paiement en ligne,Amazon.fr             amazon.fr       FR,,Approuvé,15.23,0.00,EUR,15.23,0.00,EUR,1.00,0.00,237.91
26/04/2025 15:28,C9NNVQYG7Z,Paiement POS,E.LECLERC             CHAPONNAY       FR,,Approuvé,62.96,0.00,EUR,62.96,0.00,EUR,1.00,0.00,253.14
25/04/2025 18:28,CDRBQKNMQ3,Paiement en ligne,AMZN Mktp FR          amazon.fr       LU,,Approuvé,18.98,0.00,EUR,18.98,0.00,EUR,1.00,0.00,316.10
20/04/2025 10:03,CORJPW6MP6,Paiement en ligne,AMZN Mktp FR          amazon.fr       LU,,Approuvé,33.01,0.00,EUR,33.01,0.00,EUR,1.00,0.00,335.08
19/04/2025 16:43,CD6Y6LW6MY,Paiement en ligne,AMZN Mktp FR          amazon.fr       LU,,Approuvé,101.55,0.00,EUR,101.55,0.00,EUR,1.00,0.00,368.09
11/04/2025 20:56,COW5E34Z7P,Virement sortant,OAF - Formation Professionnelle FR7610278073120002070970171,DEV-226-262 du 11 avril 2025,Approuvé,380.00,0.00,EUR,380.00,0.00,EUR,1.00,0.00,469.64
10/04/2025 04:07,C9YKX4P24Y,Rembourser,AMZN Mktp FR amazon.fr LU,,Remboursé,0.00,31.80,EUR,0.00,31.80,EUR,1.00,0.00,849.64
05/04/2025 10:14,CDBBNJ2V23,Virement sortant,TAVENARD LESTRA FR7616807004008161854621287,Facture : FA-G6260 du 1 avril 2025,Approuvé,1060.00,0.00,EUR,1060.00,0.00,EUR,1.00,0.00,817.84
04/04/2025 13:53,CO7E6VENZB,Paiement entrant SumUp,SUMUP PID1062290 PAYOUT 040425,,Entrant,0.00,707.35,EUR,0.00,707.35,EUR,1.00,0.00,1877.84
31/03/2025 18:37,C9L7JPEJ3P,Paiement POS,E.LECLERC             CHAPONNAY       FR,,Approuvé,4.25,0.00,EUR,4.25,0.00,EUR,1.00,0.00,1170.49
29/03/2025 17:53,CDYK6BMM2R,Paiement en ligne,AMZN Mktp FR          amazon.fr       LU,,Approuvé,9.99,0.00,EUR,9.99,0.00,EUR,1.00,0.00,1174.74
26/03/2025 17:09,CDVKEM242M,Paiement POS,SumUp  *Patrickfruits bron            FR,,Approuvé,14.00,0.00,EUR,14.00,0.00,EUR,1.00,0.00,1184.73
26/03/2025 11:08,CO34RL52XB,Paiement POS,IKEA VENISSIEUX       VENISSEUX       FR,,Approuvé,89.83,0.00,EUR,89.83,0.00,EUR,1.00,0.00,1198.73
24/03/2025 16:56,C9W5RYPVYR,Paiement en ligne,AMZN Mktp FR          amazon.fr       LU,,Approuvé,159.00,0.00,EUR,159.00,0.00,EUR,1.00,0.00,1288.56
21/03/2025 13:31,COQVK27B7Z,Paiement entrant SumUp,SUMUP PID1037794 PAYOUT 210325,,Entrant,0.00,25.25,EUR,0.00,25.25,EUR,1.00,0.00,1447.56
20/03/2025 13:21,C9YK3NBEXZ,Paiement entrant SumUp,SUMUP PID1035761 PAYOUT 200325,,Entrant,0.00,174.87,EUR,0.00,174.87,EUR,1.00,0.00,1422.31
07/03/2025 13:58,C97EXEX33X,Paiement en ligne,AMZN Mktp FR          amazon.fr       LU,,Approuvé,31.99,0.00,EUR,31.99,0.00,EUR,1.00,0.00,1247.44
07/03/2025 10:32,CD5GEZJWZV,Paiement en ligne,AMZN Mktp FR          amazon.fr       LU,,Approuvé,112.98,0.00,EUR,112.98,0.00,EUR,1.00,0.00,1279.43
01/03/2025 19:24,CDZM5V6BRE,Paiement en ligne,AMAZON EU SARL        PARIS           FR,,Approuvé,30.83,0.00,EUR,30.83,0.00,EUR,1.00,0.00,1392.41
01/03/2025 15:25,COYKNVZWWP,Virement sortant,Presta Clim - Alexis BERAT EI FR7630004031440001253478656,Acompte devis Devis n D-2503001,Approuvé,300.00,0.00,EUR,300.00,0.00,EUR,1.00,0.00,1423.24
01/03/2025 12:11,C95GYLNP4K,Paiement en ligne,NRJ MOBILE            PARIS           FR,,Approuvé,5.00,0.00,EUR,5.00,0.00,EUR,1.00,0.00,1723.24
01/03/2025 11:09,COGYZPNKK4,Paiement en ligne,AMZN Mktp FR          amazon.fr       LU,,Approuvé,16.14,0.00,EUR,16.14,0.00,EUR,1.00,0.00,1728.24
15/02/2025 13:36,CONP42J4KW,Paiement entrant SumUp,PID 975043,,Entrant,0.00,19.65,EUR,0.00,19.65,EUR,1.00,0.00,1744.38
13/02/2025 13:32,COKNXB5RMZ,Paiement entrant SumUp,PID 971329,,Entrant,0.00,25.54,EUR,0.00,25.54,EUR,1.00,0.00,1724.73
12/02/2025 13:35,COL76XXYXP,Paiement entrant SumUp,PID 969374,,Entrant,0.00,11.79,EUR,0.00,11.79,EUR,1.00,0.00,1699.19
30/01/2025 12:29,COXMGPRKJV,Paiement POS,SumUp  *Patrickfruits Villeurbanne    FR,,Approuvé,10.00,0.00,EUR,10.00,0.00,EUR,1.00,0.00,1687.40
08/01/2025 16:43,CD6Y7LN57V,Paiement POS,SumUp  *Patrickfruits Villeurbanne    FR,,Approuvé,38.00,0.00,EUR,38.00,0.00,EUR,1.00,0.00,1697.40
31/12/2024 13:49,CDELZEX7RE,Paiement entrant SumUp,PID 895536,,Entrant,0.00,35.10,EUR,0.00,35.10,EUR,1.00,0.00,1735.40
19/12/2024 11:00,CDXMQ4XQMV,Paiement POS,MAGASIN BAUMALU       BALDENHEIM      FR,,Approuvé,298.70,0.00,EUR,298.70,0.00,EUR,1.00,0.00,1700.30
17/12/2024 13:44,C934XYNBPX,Paiement entrant SumUp,PID 869721,,Entrant,0.00,11.79,EUR,0.00,11.79,EUR,1.00,0.00,1999.00
16/12/2024 13:41,C9NP75E6V5,Paiement entrant SumUp,PID 867861,,Entrant,0.00,406.69,EUR,0.00,406.69,EUR,1.00,0.00,1987.21
11/12/2024 16:40,CD7EB2Z6R2,Paiement POS,SumUp  *Patrickfruits Villeurbanne    FR,,Approuvé,8.00,0.00,EUR,8.00,0.00,EUR,1.00,0.00,1580.52
07/12/2024 13:45,C9BBYW2YKZ,Paiement entrant SumUp,PID 851392,,Entrant,0.00,396.90,EUR,0.00,396.90,EUR,1.00,0.00,1588.52
07/12/2024 13:00,C9W5YW6JN3,Paiement en ligne,MAAF ASSURANCES       CHAURAY         FR,,Approuvé,311.32,0.00,EUR,311.32,0.00,EUR,1.00,0.00,1191.62
04/12/2024 09:03,C97ERZ5NJN,Virement sortant,SAS Cafés Lestra FR7610096183260007141660283,Facture : FC23-2412-000004,Approuvé,437.83,0.00,EUR,437.83,0.00,EUR,1.00,0.00,1502.94
02/12/2024 13:34,CDGYJRGE5P,Paiement entrant SumUp,PID 842271,,Entrant,0.00,359.56,EUR,0.00,359.56,EUR,1.00,0.00,1940.77
01/12/2024 13:32,C9NPYYPW2J,Paiement entrant SumUp,PID 840729,,Entrant,0.00,629.91,EUR,0.00,629.91,EUR,1.00,0.00,1581.21
25/11/2024 13:32,CDXMNV74R5,Paiement entrant SumUp,PID 830115,,Entrant,0.00,273.60,EUR,0.00,273.60,EUR,1.00,0.00,951.30
25/11/2024 13:11,C96Y52KLVY,Virement sortant,SAS Cafés Lestra FR7610096183260007141660283,FC23-2411-000011,Approuvé,295.40,0.00,EUR,295.40,0.00,EUR,1.00,0.00,677.70
24/11/2024 13:31,C9XMNEVRZV,Paiement entrant SumUp,PID 828606,,Entrant,0.00,654.28,EUR,0.00,654.28,EUR,1.00,0.00,973.10
18/11/2024 13:32,C92GG4Q55G,Paiement entrant SumUp,PID 818359,,Entrant,0.00,11.70,EUR,0.00,11.70,EUR,1.00,0.00,318.82
09/11/2024 13:44,CORJRWN36L,Paiement entrant SumUp,PID 803399,,Entrant,0.00,31.78,EUR,0.00,31.78,EUR,1.00,0.00,307.12
31/10/2024 13:34,C92G7VYKKL,Paiement entrant SumUp,PID 788213,,Entrant,0.00,37.63,EUR,0.00,37.63,EUR,1.00,0.00,275.34
23/10/2024 13:53,CDZMJ5ZM6N,Paiement POS,TOUT FRUIT TOUT FRA   LOIRE-SUR-RH    FR,,Approuvé,21.70,0.00,EUR,21.70,0.00,EUR,1.00,0.00,237.71
22/10/2024 13:31,C9KN7B27QJ,Paiement entrant SumUp,PID 773145,,Entrant,0.00,127.70,EUR,0.00,127.70,EUR,1.00,0.00,259.41
22/10/2024 12:04,CDW5J36N7R,Paiement POS,LE VERGER 7 CHEMINS   ORLIENAS        FR,,Approuvé,62.55,0.00,EUR,62.55,0.00,EUR,1.00,0.00,131.71
14/10/2024 09:31,CDQEG46WKE,Paiement en ligne,HELLOASSO* BILLETTERIE+33564880234    FR,,Approuvé,6.00,0.00,EUR,6.00,0.00,EUR,1.00,0.00,194.26
10/10/2024 19:42,CD7Q4RZPLP,Virement sortant,Tavenard Lestra FR7616807004008161854621287,Acompte Devis DE-G2360 du 10/10/24,Approuvé,644.00,0.00,EUR,644.00,0.00,EUR,1.00,0.00,200.26
21/09/2024 09:53,COLPY4VZG5,Paiement POS,SumUp  *Les legumes biSaint Symphor   FR,,Approuvé,50.45,0.00,EUR,50.45,0.00,EUR,1.00,0.00,844.26
19/09/2024 09:07,COVNEZ53ME,Paiement POS,SAS   CPLT FEYZIN     FEYZIN          FR,,Approuvé,10.98,0.00,EUR,10.98,0.00,EUR,1.00,0.00,894.71
17/09/2024 11:44,C9ZKQ2K4RR,Paiement POS,LE VERGER 7 CHEMINS   ORLIENAS        FR,,Approuvé,28.50,0.00,EUR,28.50,0.00,EUR,1.00,0.00,905.69
17/09/2024 11:22,CDRRNV5P75,Paiement POS,SICA SICODIS          SAINT LAURENT   FR,,Approuvé,37.17,0.00,EUR,37.17,0.00,EUR,1.00,0.00,934.19
10/09/2024 11:33,CD3E6W76Y4,Paiement POS,SICA SICODIS          SAINT LAURENT   FR,,Approuvé,60.80,0.00,EUR,60.80,0.00,EUR,1.00,0.00,971.36
10/09/2024 10:18,CDN526PGMX,Virement sortant,SumUp,Refund for TCVX6ZSVYX,Approuvé,34.00,0.00,EUR,34.00,0.00,EUR,1.00,0.00,1032.16
10/09/2024 10:18,COQEKWVJ74,Virement sortant,SumUp,Refund for TZY46T9DXZ,Approuvé,34.00,0.00,EUR,34.00,0.00,EUR,1.00,0.00,1066.16
08/09/2024 13:46,CDZKY2NMLN,Paiement entrant SumUp,PID 699655,,Entrant,0.00,538.34,EUR,0.00,538.34,EUR,1.00,0.00,1100.16
29/08/2024 14:42,CON5J7GBRB,Paiement POS,SICA SICODIS          SAINT LAURENT   FR,,Approuvé,65.55,0.00,EUR,65.55,0.00,EUR,1.00,0.00,561.82
21/08/2024 11:59,COG5ZP2ME3,Paiement POS,SICA SICODIS          SAINT LAURENT   FR,,Approuvé,37.96,0.00,EUR,37.96,0.00,EUR,1.00,0.00,627.37
13/08/2024 10:21,CDWLZ3VBPR,Paiement POS,SICA SICODIS          SAINT LAURENT   FR,,Approuvé,60.76,0.00,EUR,60.76,0.00,EUR,1.00,0.00,665.33
23/07/2024 09:54,CD4RYREYYQ,Paiement POS,SICA SICODIS          SAINT LAURENT   FR,,Approuvé,24.00,0.00,EUR,24.00,0.00,EUR,1.00,0.00,726.09
16/07/2024 12:03,CD6ZK4N3B6,Paiement POS,SICA SICODIS          SAINT LAURENT   FR,,Approuvé,51.00,0.00,EUR,51.00,0.00,EUR,1.00,0.00,750.09
23/05/2024 13:39,C94RBLV7R6,Paiement entrant SumUp,PID 536896,,Entrant,0.00,39.30,EUR,0.00,39.30,EUR,1.00,0.00,801.09
07/03/2024 13:41,CO5Z74P5VL,Paiement entrant SumUp,PID 458205,,Entrant,0.00,21.61,EUR,0.00,21.61,EUR,1.00,0.00,761.79
23/01/2024 11:51,COE6PQQMRZ,Paiement POS,FIRSPLAST             SAINT-PRIEST    FR,,Approuvé,39.90,0.00,EUR,39.90,0.00,EUR,1.00,0.00,740.18
24/12/2023 13:50,COG46LWKEY,Paiement entrant SumUp,PID 404776,,Entrant,0.00,83.49,EUR,0.00,83.49,EUR,1.00,0.00,780.08
09/12/2023 13:45,C96GR3LMXG,Paiement entrant SumUp,PID 397001,,Entrant,0.00,9.82,EUR,0.00,9.82,EUR,1.00,0.00,696.59
02/12/2023 13:44,CO4MGZLV2Q,Paiement entrant SumUp,PID 393299,,Entrant,0.00,102.66,EUR,0.00,102.66,EUR,1.00,0.00,686.77
01/12/2023 21:20,CONEJWRKER,Paiement en ligne,MAAF ASSURANCES       CHAURAY         FR,,Approuvé,73.89,0.00,EUR,73.89,0.00,EUR,1.00,0.00,584.11
27/11/2023 13:45,COG4X42GEZ,Paiement entrant SumUp,PID 390544,,Entrant,0.00,65.83,EUR,0.00,65.83,EUR,1.00,0.00,658.00
